sid,rep,cs_p,cs_b,or_p,or_b,pr_p,pr_b,rc_p,rc_b,nn_p,nn_b
1,57,0.04357552161396795,-0.2409394410889951,0.05596471797198089,-0.23704479414891022,0.1933099865070531,-0.15280527116175346,0.06698829571368943,-0.2146434746221231,0.06004741993464177,-0.22050042728539818
1,58,0.0007602006279704033,-0.4084845775924068,0.003928909813605343,-0.3606682509348212,0.001549440116545602,-0.3811712700938681,0.006264470287498639,-0.3304399933143937,0.01188897309550352,-0.30401242264569794
1,59,0.008965207910014133,-0.3211195346630358,0.00044345626557574033,-0.4490894587261538,0.0026309485492579106,-0.36304532370348325,0.0006534880546564611,-0.4130296476314688,0.0026764474659300075,-0.36294510338480973
1,60,3.21779503393112e-05,-0.4898119740739078,6.263634503709177e-07,-0.6081929153062413,5.022404901088416e-06,-0.538669359939879,2.02550611487519e-06,-0.5616256802452259,2.585133655534169e-06,-0.5554307541931299
1,61,0.01833447232979414,-0.27997228425887083,0.00042860327094652054,-0.42935004780761765,0.00953473820440817,-0.30575945341617367,0.002020438125132392,-0.3645864979537747,0.003340719538578661,-0.34645077840192895
1,62,0.21397358573049874,-0.1492861360327939,0.003578891297364633,-0.3673072405383947,0.028469969737753474,-0.2621993963046922,0.0038737547494059146,-0.3464194440608318,0.004265397305298031,-0.34287951649839726
1,63,0.13304499870601175,-0.18493426433283264,0.048241793314555255,-0.2524958200463926,0.02441166691447235,-0.27095691566623287,0.11970613081276629,-0.1860989077009754,0.10475881491842684,-0.19394224882597963
1,64,0.0007530426247810677,-0.40879932730853863,4.7921964579388935e-06,-0.5791518567082415,1.5640128414588474e-06,-0.5842811198435959,7.15227311061132e-07,-0.6032072293511718,1.847558835247395e-06,-0.5780166479833858
1,65,0.0001608573293028613,-0.45027168507710025,3.906468891363739e-05,-0.5013714807748266,0.00013796683579824688,-0.4523922758040545,6.074361619978737e-05,-0.4782314204154693,7.666882430933024e-05,-0.47200003701453547
1,66,0.026125921931742138,-0.265940381961433,0.0004792645406657663,-0.4415252770261704,0.0003776897052039389,-0.42566495057571374,4.372589108460205e-05,-0.49014588106624146,6.166973377697692e-05,-0.4807479591859414
1,67,0.021290680921802512,-0.2724660028207231,0.0011523880289253784,-0.3905681817133968,0.015356904900693202,-0.282837691502754,0.0019463636131127606,-0.36314918565007065,0.0022700337719217616,-0.35787980952102044
